Band,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
sdssr,aligned_supersecret_rp_2459698d8878502091_2022d04d29T09d09d29d679_1a0213053_124d942_kb27_sophiarisin1.fit,55,0,59698.88232,2459698.882,NaN,NaN,2459698.887,1.021305,NaN,NaN,124.942,NaN,NaN,6.128624,7,13,20,0.383579,1.404241,0.712128,0.000536,0.002061,0.001045,715.09435,681.244265,681.244265,1033910.658,745.68898,1499.019156,969.410855,1499.519156,1033.089145,12.726203,11.576673,396586.7747,153.93804,475.142534,13.522812,0.001517,834.669064,18801.17578,2576.275329,326.653945,725.707903,4.593533,5.535059,5.765206,5.304911,329.233079,0.969665,1184.599202,457.527901,1185.099202,1544.972099,12.731794,11.624843,603874.4987,565.424871,13.24,0.001016,1068.001303,31996.4668,3922.841285,273.042057,4.317825,5.625572,5.733872,5.517273,322.222161,0.976192,2274.659471,611.830843,2275.159471,1390.669157,12.72989,11.452598,430036.1595,486.15509,13.23,0.001227,884.565787,27499.35156,2793.56655,266.532985,4.012421,5.207129,5.365937,5.04832,326.69074,0.97642
sdssr,aligned_supersecret_rp_2459698d9166565822_2022d04d29T09d50d58d710_1a0608607_124d939_kb27_sophiarisin1.fit,56,0,59698.91113,2459698.911,NaN,NaN,2459698.916,1.060861,NaN,NaN,124.939,NaN,NaN,5.973268,7,13,20,0.373932,1.400228,0.71417,0.000549,0.002131,0.001087,681.629609,657.05415,657.05415,970411.5889,725.726189,1499.334043,969.109956,1499.834043,1033.390044,12.726203,11.576675,362867.8885,153.93804,457.992736,13.550469,0.001592,792.300533,23706.04883,2357.233394,327.256449,725.707903,3.648228,5.284261,5.557529,5.010993,359.419255,0.989355,1184.898018,457.251637,1185.398018,1545.248363,12.731793,11.624845,566111.7511,549.710464,13.24,0.001054,1029.836229,34033.25781,3677.52994,278.203094,4.244868,5.48073,5.744383,5.217076,20.068295,0.984236,2274.939059,611.46153,2275.439059,1391.03847,12.72989,11.452591,404299.8377,473.811046,13.23,0.001272,853.293398,25968.76367,2626.380313,271.097052,3.898084,5.197869,5.478861,4.916877,7.635076,0.987512
sdssr,aligned_supersecret_rp_2459698d9182575140_2022d04d29T09d53d17d034_1a0641214_124d94_kb27_sophiarisin1.fit,57,0,59698.91273,2459698.913,NaN,NaN,2459698.918,1.064121,NaN,NaN,124.94,NaN,NaN,5.425813,7,13,20,0.372599,1.392272,0.718251,0.00055,0.002128,0.001098,677.405678,654.313616,654.313616,962248.6087,723.055462,1498.957629,969.065473,1499.457629,1033.434527,12.726203,11.576667,358533.2322,153.93804,455.575726,13.554345,0.001602,786.989324,27052.74609,2329.074945,325.635981,725.707903,3.268176,5.156213,5.089606,5.22282,55.28838,0.994598,1184.478797,457.180106,1184.978797,1545.319894,12.731794,11.624839,560016.4355,547.100364,13.24,0.00106,1023.608231,42322.875,3637.934038,278.650395,3.391488,5.286371,5.141313,5.431429,56.804302,0.98125,2274.486709,611.384089,2274.986709,1391.115911,12.729891,11.452602,402232.1732,472.747706,13.23,0.001275,850.838975,31505.84961,2612.948516,270.850423,3.644508,5.002825,4.799413,5.206237,63.835163,0.982352
sdssr,aligned_supersecret_rp_2459698d9198586191_2022d04d29T09d55d35d173_1a0674875_124d939_kb27_sophiarisin1.fit,58,0,59698.91433,2459698.914,NaN,NaN,2459698.919,1.067488,NaN,NaN,124.939,NaN,NaN,5.361337,7,13,20,0.375463,1.377214,0.726104,0.000557,0.002119,0.001117,674.108433,649.854861,649.854861,949122.7962,718.845251,1498.445314,969.733796,1498.945314,1032.766204,12.726204,11.57682,356360.0585,153.93804,454.547632,13.546034,0.001609,783.988373,28448.65039,2314.957748,326.751915,725.707903,3.306737,5.131787,4.971133,5.29244,81.500391,0.995722,1184.033414,457.866296,1184.533414,1544.633704,12.731796,11.624929,549864.2937,542.761693,13.24,0.001071,1013.08604,42349.375,3571.984505,279.841139,3.599482,5.426404,5.301918,5.55089,56.751808,0.986778,2274.085192,612.080355,2274.585192,1390.419645,12.729892,11.452692,399258.5025,471.326045,13.23,0.001281,847.096203,29557.58008,2593.631194,271.681931,3.751978,5.015692,4.830948,5.200437,68.67947,0.989998
sdssr,aligned_supersecret_rp_2459698d9214596339_2022d04d29T09d57d53d515_1a0709895_124d939_kb27_sophiarisin1.fit,59,0,59698.91593,2459698.916,NaN,NaN,2459698.921,1.07099,NaN,NaN,124.939,NaN,NaN,5.337309,7,13,20,0.377712,1.38523,0.721902,0.000538,0.002054,0.001071,702.024936,674.347092,674.347092,1014431.742,740.152904,1499.682498,969.593314,1500.182498,1032.906686,12.726203,11.576676,383163.474,153.93804,468.762605,13.539547,0.001545,817.393431,28383.74609,2489.075955,330.818159,725.707903,3.442073,5.200668,5.119249,5.282087,72.070612,0.998508,1185.251813,457.73426,1185.751813,1544.76574,12.731794,11.624844,589134.4742,559.812015,13.24,0.001031,1052.379117,42176.74219,3827.088315,280.957043,3.441977,5.510166,5.396439,5.623892,55.476929,0.986688,2275.293199,611.920474,2275.793199,1390.579526,12.72989,11.452593,425297.2678,484.18677,13.23,0.001235,878.374408,32894.51172,2762.782141,270.43466,3.766542,5.170644,5.017828,5.323461,64.164875,0.990932
sdssr,aligned_supersecret_rp_2459698d9230605192_2022d04d29T10d00d11d630_1a0746062_124d935_kb27_sophiarisin1.fit,60,0,59698.91752,2459698.918,NaN,NaN,2459698.922,1.074606,NaN,NaN,124.935,NaN,NaN,5.094296,7,13,20,0.378473,1.390938,0.718939,0.00052,0.001994,0.001031,727.447955,697.480817,697.480817,1078171.213,760.342776,1499.218812,969.722563,1499.718812,1032.777437,12.726204,11.576676,408058.6421,153.93804,481.506732,13.537363,0.001492,847.461967,33264.62891,2650.797957,333.693876,725.707903,3.02739,5.210334,5.136283,5.284386,285.703068,0.998891,1184.788376,457.953285,1185.288376,1544.546715,12.731794,11.624846,627230.5511,575.7005,13.24,0.000996,1089.508436,50281.96875,4074.565007,279.83822,3.410875,5.396511,5.319317,5.473704,55.27523,0.993361,2274.829863,612.129552,2275.329863,1390.370448,12.72989,11.45259,450940.662,496.679043,13.23,0.001195,907.911595,33364.58984,2929.36471,270.908567,3.507315,5.007218,4.897264,5.117173,74.044427,0.997326
sdssr,aligned_supersecret_rp_2459699d5369993430_2022d04d30T00d44d18d485_1a1152685_125d284_kb56_sophiarisin1.fit,61,0,59699.5315,2459699.531,NaN,NaN,2459699.536,1.115268,NaN,NaN,125.284,NaN,NaN,7.584829,7,13,20,0.384313,1.45681,0.686431,0.000528,0.002109,0.000994,728.338268,690.701702,690.701702,1074578.332,761.19003,1499.577734,968.847984,1500.077734,1033.652016,12.726207,11.576756,412974.7656,153.93804,485.718899,13.520737,0.00149,850.234089,12253.66797,2682.733686,353.194166,725.707903,5.614683,6.6849,6.593085,6.776715,312.411151,0.907383,1196.451828,450.246965,1196.951828,1552.253035,12.731796,11.624907,637190.7085,580.832254,13.24,0.000989,1097.030517,17876.08203,4139.267385,293.249871,5.955574,6.684566,6.543143,6.825988,310.985803,0.908294,2282.718499,628.186324,2283.218499,1374.313676,12.729895,11.452667,437387.6238,491.979831,13.23,0.001221,889.03568,11429.73926,2841.322546,291.250762,6.089935,6.9718,6.938585,7.005014,314.009375,0.924047
sdssr,aligned_supersecret_rp_2459699d5386104970_2022d04d30T00d46d37d948_1a1193494_125d284_kb56_sophiarisin1.fit,62,0,59699.53311,2459699.533,NaN,NaN,2459699.538,1.119349,NaN,NaN,125.284,NaN,NaN,7.192619,7,13,20,0.383569,1.451914,0.688746,0.000523,0.002085,0.000989,733.490203,696.199266,696.199266,1089073.107,765.719008,1499.656333,969.738852,1500.156333,1032.761148,12.726203,11.576647,417734.6628,153.93804,487.940183,13.522842,0.001479,856.118593,18107.21484,2713.654551,352.025445,725.707903,4.56045,5.938919,6.015903,5.861935,324.813046,0.994044,1196.52542,451.117214,1197.02542,1551.382786,12.731793,11.624828,644900.4348,584.028109,13.24,0.000983,1104.228418,25377.72852,4189.350694,293.828646,4.551374,5.966757,5.964065,5.969449,314.69387,0.99287,2282.821439,629.09878,2283.321439,1373.40122,12.729889,11.452586,444172.6718,495.21386,13.23,0.00121,896.931018,16550.60156,2885.399033,290.819013,4.881202,6.29468,6.398046,6.191315,325.640721,0.991817
sdssr,aligned_supersecret_rp_2459699d5402217479_2022d04d30T00d48d57d239_1a1235545_125d285_kb56_sophiarisin1.fit,63,0,59699.53472,2459699.535,NaN,NaN,2459699.539,1.123554,NaN,NaN,125.285,NaN,NaN,6.660904,7,13,20,0.381777,1.445036,0.692024,0.000518,0.00206,0.000987,737.041167,701.375573,701.375573,1102876.425,770.122239,1499.881513,969.456335,1500.381513,1033.043665,12.726203,11.576651,421052.8872,153.93804,489.805924,13.527926,0.001472,859.632085,23173.68359,2735.210135,354.772817,725.707903,3.972349,5.623163,5.614997,5.63133,313.588983,0.996519,1196.74914,450.872611,1197.24914,1551.627389,12.731793,11.624832,651808.8206,586.887504,13.24,0.000977,1110.619695,32415.75977,4234.228398,294.485931,4.350855,5.659193,5.594467,5.72392,302.137382,0.997223,2283.060043,628.857521,2283.560043,1373.642479,12.729889,11.452584,451067.6045,498.649496,13.23,0.0012,904.578482,20761.63867,2930.189344,292.296173,4.46689,5.99088,6.048567,5.933193,324.148857,0.996238
sdssr,aligned_supersecret_rp_2459699d5418327530_2022d04d30T00d51d16d806_1a1279058_125d281_kb56_sophiarisin1.fit,64,0,59699.53634,2459699.536,NaN,NaN,2459699.541,1.127906,NaN,NaN,125.281,NaN,NaN,6.42927,7,13,20,0.383158,1.451869,0.688767,0.000518,0.002066,0.00098,740.110887,702.846586,702.846586,1107753.066,771.545561,1499.777201,969.233331,1500.277201,1033.266669,12.726203,11.576653,424444.4493,153.93804,491.421016,13.524006,0.001466,863.708379,24272.83789,2757.242129,354.432345,725.707903,4.026505,5.43036,5.395931,5.464789,276.84596,0.99983,1196.663278,450.678561,1197.163278,1551.821439,12.731793,11.624829,655953.7036,588.566317,13.24,0.000974,1114.494128,35310.80859,4261.154056,294.481631,4.195135,5.457362,5.382836,5.531887,79.231331,0.999138,2282.947115,628.613223,2283.447115,1373.886777,12.72989,11.452588,451799.3629,498.870968,13.23,0.001198,905.643727,21678.67773,2934.942934,290.8609,4.405265,5.860439,5.906706,5.814172,350.950842,0.999724
