Band,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
bessellv,aligned_supersecret_V_2459694d9174724920_2022d04d25T09d52d04d673_1a0426946_99d938_kb27_sophiarisin1.fit,24,0,59694.91174,2459694.912,NaN,NaN,2459694.917,1.042695,NaN,NaN,99.938,NaN,NaN,6.032875,7,13,20,0.340307,1.452197,0.688612,0.000684,0.002898,0.001374,497.879393,501.175956,501.175956,603689.1985,588.620184,1499.263266,970.023967,1499.763266,1032.476033,12.726203,11.576685,205439.663,153.93804,360.74683,13.652773,0.002179,569.484319,9986.013672,1334.56073,275.243486,725.707903,4.139866,5.978412,6.434302,5.522521,338.711711,0.957599,1184.815124,458.150967,1185.315124,1544.349033,12.731793,11.624843,357506.1554,447.262452,13.24,0.001357,799.320743,16439.04688,2322.402931,247.026245,4.308896,6.143108,6.562598,5.723618,339.015726,0.966572,2274.795601,612.248081,2275.295601,1390.251919,12.72989,11.452614,246183.0431,382.661757,13.23,0.001686,643.343732,12920.83691,1599.234621,240.243426,4.080073,5.88629,6.326501,5.446079,338.788541,0.9594
bessellv,aligned_supersecret_V_2459694d9187833760_2022d04d25T09d53d58d007_1a0447447_99d944_kb27_sophiarisin1.fit,25,0,59694.91306,2459694.913,NaN,NaN,2459694.918,1.044745,NaN,NaN,99.944,NaN,NaN,5.585392,7,13,20,0.341569,1.441109,0.69391,0.000674,0.002828,0.001362,506.922851,509.644765,509.644765,619875.3496,594.994225,1499.396162,969.544691,1499.896162,1032.955309,12.726203,11.576687,211729.986,153.93804,364.898665,13.648755,0.00214,580.243246,14564.80078,1375.423423,275.438875,725.707903,3.689858,5.439664,5.820898,5.05843,338.558401,0.963764,1184.962065,457.652155,1185.462065,1544.847845,12.731793,11.624841,365943.5174,451.643743,13.24,0.001339,810.248173,21768.06055,2377.213049,246.132301,3.643075,5.644504,6.007506,5.281503,341.509515,0.974289,2274.953555,611.755624,2275.453555,1390.744376,12.72989,11.452613,253931.8322,387.344881,13.23,0.001655,655.570383,16370.64844,1649.571686,239.299502,3.390368,5.371438,5.681414,5.061461,336.397365,0.97133
bessellv,aligned_supersecret_V_2459695d9916844838_2022d04d26T11d39d00d992_1a32955_99d942_kb27_sophiarisin1.fit,26,0,59695.98601,2459695.986,NaN,NaN,2459695.991,1.32955,NaN,NaN,99.942,NaN,NaN,5.939226,7,13,20,0.359018,1.42653,0.701002,0.000702,0.002835,0.001393,511.715457,503.203318,503.203318,607376.5148,590.968059,1498.905598,969.139613,1499.405598,1033.360387,12.726204,11.576698,218059.2199,153.93804,369.559982,13.594659,0.00212,590.050954,12843.45313,1416.538887,280.049018,725.707903,3.769078,5.467106,5.307743,5.62647,67.46821,0.993199,1184.298509,457.449726,1184.798509,1545.050274,12.731793,11.624874,357069.8572,447.413329,13.24,0.00136,798.076038,19437.22266,2319.568686,250.883648,4.296551,5.520936,5.426847,5.615025,53.433051,0.986207,2274.434939,611.232616,2274.934939,1391.267384,12.729891,11.452631,250306.6576,386.088798,13.23,0.001673,648.313701,14060.45117,1626.022116,247.794184,4.166658,5.395393,5.187606,5.603181,61.604343,0.980281
bessellv,aligned_supersecret_V_2459695d9929954559_2022d04d26T11d40d54d483_1a3386075_99d948_kb27_sophiarisin1.fit,27,0,59695.98732,2459695.987,NaN,NaN,2459695.992,1.338608,NaN,NaN,99.948,NaN,NaN,6.061994,7,13,20,0.359327,1.428623,0.699975,0.0007,0.002833,0.001388,513.158764,504.335535,504.335535,609789.5523,591.927682,1498.897479,970.03524,1499.397479,1032.46476,12.726203,11.576677,219113.5872,153.93804,370.244553,13.593727,0.002114,591.807726,13610.68945,1423.388184,280.098111,725.707903,3.853827,5.383757,5.291077,5.476436,59.874902,0.995189,1184.253845,458.321055,1184.753845,1544.178945,12.731792,11.624856,358705.0184,448.340222,13.24,0.001356,800.07325,19701.75781,2330.190889,251.464507,4.404595,5.461319,5.489269,5.43337,42.587175,0.985197,2274.410637,612.08552,2274.910637,1390.41448,12.72989,11.452616,251084.5339,386.483411,13.23,0.00167,649.664454,14180.54395,1631.075294,247.056358,3.988333,5.28238,5.193969,5.370791,53.916444,0.988059
bessellv,aligned_supersecret_V_2459695d9943062402_2022d04d26T11d42d47d956_1a3478725_99d941_kb27_sophiarisin1.fit,28,0,59695.98863,2459695.989,NaN,NaN,2459695.994,1.347872,NaN,NaN,99.941,NaN,NaN,6.029351,7,13,20,0.35817,1.42495,0.701779,0.000694,0.002806,0.001382,515.749922,507.859852,507.859852,616525.1563,594.537979,1499.535556,969.775301,1500.035556,1032.724699,12.726203,11.576674,220821.0406,153.93804,371.444444,13.597226,0.002103,594.492782,13905.92773,1434.480006,280.963372,725.707903,3.639861,5.23477,5.11077,5.35877,65.788392,0.994909,1184.942912,458.024863,1185.442912,1544.475137,12.731792,11.624846,362282.7102,450.196316,13.24,0.001348,804.721624,21366.23438,2353.432005,251.060633,4.290147,5.343162,5.312773,5.373551,47.595938,0.9842,2275.018958,611.825509,2275.518958,1390.674491,12.72989,11.452616,254242.4461,388.328065,13.23,0.001657,654.71046,14801.81641,1651.589471,246.217901,4.096051,5.184763,5.086437,5.283089,55.491196,0.988789
bessellv,aligned_supersecret_V_2459695d9956405638_2022d04d26T11d44d42d619_1a3574269_99d939_kb27_sophiarisin1.fit,29,0,59695.98996,2459695.99,NaN,NaN,2459695.995,1.357427,NaN,NaN,99.939,NaN,NaN,5.917899,7,13,20,0.35949,1.433074,0.697801,0.000695,0.002819,0.001373,517.610422,508.39565,508.39565,618501.6179,595.440307,1499.078656,969.388596,1499.578656,1033.111404,12.726203,11.576675,222345.0335,153.93804,372.428337,13.593234,0.002096,597.014274,16586.125,1444.380047,281.032964,725.707903,3.664222,5.072136,4.995667,5.148605,59.760913,0.996257,1184.441319,457.582122,1184.941319,1544.917878,12.731793,11.62485,364295.7377,451.37487,13.24,0.001344,807.080239,21757.49609,2366.508874,252.230748,4.134256,5.128326,5.05257,5.204082,52.039473,0.985256,2274.545266,611.377243,2275.045266,1391.122757,12.729891,11.452612,254205.8802,388.342486,13.23,0.001657,654.591989,16127.27637,1651.351935,246.539951,3.925868,4.967331,4.826357,5.108304,58.258486,0.983863
bessellv,aligned_supersecret_V_2459695d9969514548_2022d04d26T11d46d35d932_1a3670988_99d948_kb27_sophiarisin1.fit,30,0,59695.99127,2459695.991,NaN,NaN,2459695.996,1.367099,NaN,NaN,99.948,NaN,NaN,5.805075,7,13,20,0.361747,1.430863,0.698879,0.000701,0.002829,0.001382,516.262455,505.812999,505.812999,613006.7206,593.17046,1498.926892,969.618672,1499.426892,1032.881328,12.726204,11.57669,221753.1307,153.93804,372.098648,13.586439,0.002101,595.95253,15096.29004,1440.534975,281.442454,725.707903,3.642882,5.14615,5.081863,5.210437,56.357522,0.995815,1184.280956,457.821245,1184.780956,1544.678755,12.731795,11.624874,360830.1366,449.347066,13.24,0.001351,803.009886,22451.40039,2343.995913,250.247564,3.952415,5.237823,5.190683,5.284963,49.475943,0.986621,2274.428105,611.625702,2274.928105,1390.874298,12.729891,11.452625,252176.584,387.218812,13.23,0.001666,651.250859,16549.05273,1638.169383,247.607354,3.902027,5.053466,4.904689,5.202242,60.261253,0.986582
bessellv,aligned_supersecret_V_2459696d4285621601_2022d04d26T22d08d08d771_1a1082112_100d272_kb95_sophiarisin1.fit,31,0,59696.4229,2459696.423,NaN,NaN,2459696.428,1.108211,NaN,NaN,100.272,NaN,NaN,10.355987,7,13,20,0.370563,1.431826,0.698409,0.000793,0.003158,0.001541,467.343923,453.351078,453.351078,509562.7875,549.663054,1498.984768,968.770034,1499.484768,1033.729966,12.726207,11.576706,188824.9272,153.93804,348.940798,13.560296,0.002321,541.137431,4004.530518,1226.62941,269.98492,725.707903,9.171484,7.773815,7.496152,8.051479,278.59101,0.994423,1191.022093,451.406373,1191.522093,1551.093627,12.731796,11.624872,300023.6127,415.662926,13.24,0.001503,721.795459,7068.684082,1948.989429,248.198772,8.443557,7.456157,7.204588,7.707726,288.121424,0.993016,2280.997679,620.936653,2281.497679,1381.563347,12.729895,11.452625,209539.1748,359.657899,13.23,0.001862,582.606903,5366.375,1361.19165,244.439353,7.647844,7.273169,7.020349,7.525989,87.238911,0.995133
bessellv,aligned_supersecret_V_2459696d4298836309_2022d04d26T22d10d03d152_1a1051541_100d278_kb95_sophiarisin1.fit,32,0,59696.42423,2459696.424,NaN,NaN,2459696.429,1.105154,NaN,NaN,100.278,NaN,NaN,11.656002,7,13,20,0.371795,1.434213,0.697247,0.000792,0.003153,0.001533,469.72502,454.861715,454.861715,512653.5286,551.016888,1499.026156,969.530353,1499.526156,1032.969647,12.726205,11.576705,190601.926,153.93804,350.260339,13.556692,0.002309,544.172162,4000.86499,1238.173007,270.845072,725.707903,8.987559,7.741281,7.501768,7.980794,277.33254,0.995917,1191.065946,452.147125,1191.565946,1550.352875,12.731795,11.62487,302050.1004,416.750855,13.24,0.001497,724.7738,6844.220215,1962.153736,247.530308,8.235042,7.419572,7.186927,7.652217,287.52795,0.994143,2281.025323,621.655257,2281.525323,1380.844743,12.729894,11.452626,210603.4283,360.469605,13.23,0.001857,584.247396,5589.679199,1368.105169,245.314244,7.389418,7.190658,7.001665,7.379651,84.557285,0.997139
bessellv,aligned_supersecret_V_2459696d4312050599_2022d04d26T22d11d57d436_1a1021918_100d276_kb95_sophiarisin1.fit,33,0,59696.42555,2459696.426,NaN,NaN,2459696.431,1.102192,NaN,NaN,100.276,NaN,NaN,12.140939,7,13,20,0.370748,1.43888,0.694985,0.000788,0.003155,0.001524,470.681103,456.06591,456.06591,515331.4496,552.259108,1499.781919,968.883015,1500.281919,1033.616985,12.726206,11.576719,191058.1491,153.93804,350.496278,13.559753,0.002304,545.107497,4041.36792,1241.136688,270.260841,725.707903,8.976439,7.742674,7.405651,8.079698,271.383323,0.992432,1191.797915,451.592853,1192.297915,1550.907147,12.731794,11.624882,304033.0261,418.012497,13.24,0.001492,727.329991,7173.017578,1975.03506,248.75621,8.112367,7.36275,7.096867,7.628633,281.995392,0.993767,2281.77411,621.013662,2282.27411,1381.486338,12.729894,11.45264,211298.4236,360.90951,13.23,0.001853,585.460947,5561.15918,1372.619942,245.161076,7.678009,7.202597,6.910763,7.494431,81.278036,0.992808
