Band,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
sdssi,aligned_supersecret_ip_2459696d9013505229_2022d04d27T09d28d10d313_1a0288075_199d942_kb27_sophiarisin1.fit,40,0,59696.89572,2459696.896,NaN,NaN,2459696.9,1.028808,NaN,NaN,199.942,NaN,NaN,9.710985,7,13,20,0.216698,1.391156,0.718827,0.000383,0.001954,0.00101,565.850555,712.011264,712.011264,1133420.968,782.819153,1498.988553,968.843414,1499.488553,1033.656586,12.726207,11.576763,245610.0401,153.93804,399.533797,14.142813,0.001917,614.741586,8451.907227,1595.512325,390.414341,725.707903,6.813568,6.411133,6.672902,6.149364,338.141528,0.987277,1184.571231,456.954388,1185.071231,1545.545612,12.731797,11.624886,659415.485,592.415132,13.24,0.000975,1113.096965,20797.26367,4283.642204,326.018421,6.620504,6.391395,6.46771,6.315079,323.714115,0.993645,2274.61668,611.177195,2275.11668,1391.322805,12.729894,11.452663,474005.4835,511.712946,13.23,0.001171,926.311299,15935.5625,3079.196561,316.845163,5.988758,6.03902,6.19589,5.88215,329.852854,0.989024
sdssi,aligned_supersecret_ip_2459697d8971061818_2022d04d28T09d22d07d385_1a0272366_199d943_kb27_sophiarisin1.fit,41,0,59697.89152,2459697.892,NaN,NaN,2459697.896,1.027237,NaN,NaN,199.943,NaN,NaN,6.148664,7,13,20,0.213837,1.35161,0.739858,0.000721,0.003388,0.001855,296.526305,398.897863,398.897863,424351.2281,522.950856,1499.203357,969.759621,1499.703357,1032.740379,12.726203,11.576677,90741.99079,153.93804,284.852754,14.157243,0.003655,318.557534,9929.651367,589.470873,337.073786,725.707903,2.961974,4.768906,4.793094,4.744717,324.100271,0.998945,1184.710619,457.844386,1185.210619,1544.655614,12.731793,11.624846,243899.8544,389.979232,13.24,0.001735,625.417546,20785.86328,1584.402753,314.681712,2.95008,4.835156,4.916193,4.754118,17.352315,0.998338,2274.748417,611.938272,2275.248417,1390.561728,12.729891,11.452622,180451.3737,348.416125,13.23,0.002094,517.919122,19557.03125,1172.233801,309.319573,2.822954,4.761354,5.039653,4.483055,28.086393,0.956204
sdssi,aligned_supersecret_ip_2459697d8995751590_2022d04d28T09d25d40d646_1a0299239_199d943_kb27_sophiarisin1.fit,42,0,59697.89399,2459697.894,NaN,NaN,2459697.898,1.029924,NaN,NaN,199.943,NaN,NaN,4.954079,7,13,20,0.210467,1.375071,0.727235,0.000588,0.002892,0.00153,357.687059,475.416077,475.416077,563883.283,582.578396,1498.765204,969.179703,1499.265204,1033.320297,12.726203,11.576682,118678.7253,153.93804,308.307918,14.174491,0.003031,384.935703,11624.86328,770.951256,343.933132,725.707903,2.862966,4.847252,4.919594,4.77491,340.496547,0.998525,1184.248199,457.27378,1184.748199,1545.22622,12.731793,11.624848,326465.8763,437.090936,13.24,0.001453,746.906077,35045.37891,2120.76155,310.714849,3.005455,4.81267,4.944611,4.68073,9.708645,0.996625,2274.525362,611.471178,2275.025362,1391.028822,12.72989,11.452596,237417.4067,385.161136,13.23,0.00176,616.410599,33006.48047,1542.291994,307.390797,2.845153,4.287859,4.37553,4.200188,350.88279,0.998148
sdssi,aligned_supersecret_ip_2459697d9020462292_2022d04d28T09d29d13d839_1a0328647_199d943_kb27_sophiarisin1.fit,43,0,59697.89646,2459697.896,NaN,NaN,2459697.901,1.032865,NaN,NaN,199.943,NaN,NaN,4.545006,7,13,20,0.210963,1.375951,0.72677,0.000715,0.003444,0.001819,295.214553,399.522292,399.522292,426194.3716,523.262855,1498.756092,969.621495,1499.256092,1032.878505,12.726203,11.57668,89911.44945,153.93804,283.853574,14.171932,0.003672,316.752924,8870.418945,584.075576,335.129634,725.707903,2.901091,4.802926,4.857724,4.748128,356.31225,0.999471,1184.225145,457.682172,1184.725145,1544.817828,12.731793,11.624855,246815.935,391.240751,13.24,0.00172,630.854364,25071.70703,1603.345963,310.145168,2.963797,4.770232,4.824011,4.716454,27.841464,0.998401,2274.433876,611.853717,2274.933876,1390.646283,12.72989,11.4526,179378.4367,347.468977,13.23,0.002101,516.243027,21783.76367,1165.263873,307.651835,2.816051,4.303663,4.286663,4.320663,59.841974,0.999746
sdssi,aligned_supersecret_ip_2459697d9045172879_2022d04d28T09d32d47d785_1a0360631_199d939_kb27_sophiarisin1.fit,44,0,59697.89893,2459697.899,NaN,NaN,2459697.903,1.036063,NaN,NaN,199.939,NaN,NaN,4.532538,7,13,20,0.216816,1.408869,0.709789,0.001143,0.005345,0.002693,189.761058,263.593415,263.593415,230396.4334,425.792719,1498.468549,969.184309,1498.968549,1033.315691,12.726205,11.576758,49953.61198,153.93804,246.526053,14.142223,0.005707,202.630154,5126.952637,324.504664,326.461284,725.707903,2.874078,4.961373,4.984706,4.938039,34.045111,0.999365,1183.943928,457.278773,1184.443928,1545.221227,12.731796,11.624893,134751.3773,316.287856,13.24,0.002545,426.040313,12774.46875,875.361134,313.89026,3.198471,4.897598,4.924237,4.87096,37.025165,0.998433,2274.197105,611.429424,2274.697105,1391.070576,12.729894,11.452651,95645.05603,285.063907,13.23,0.003231,335.521452,11315.54492,621.321773,312.151218,2.980057,4.342497,4.281317,4.403678,72.561722,0.998821
sdssi,aligned_supersecret_ip_2459697d9069880252_2022d04d28T09d36d21d065_1a0395058_199d949_kb27_sophiarisin1.fit,45,0,59697.9014,2459697.901,NaN,NaN,2459697.906,1.039506,NaN,NaN,199.949,NaN,NaN,4.420218,7,13,20,0.213353,1.399664,0.714457,0.000579,0.002894,0.001477,368.486899,483.7178,483.7178,583516.7043,591.422336,1499.04944,969.966857,1499.54944,1032.533143,12.726203,11.576679,124495.0393,153.93804,313.40706,14.159704,0.002942,397.231125,12401.3418,808.73473,348.440931,725.707903,2.927208,4.900097,4.902899,4.897295,318.248585,0.999898,1184.525921,458.050208,1185.025921,1544.449792,12.731793,11.624847,340350.7298,445.2927,13.24,0.00142,764.33036,31990.82813,2210.959226,317.751851,2.873528,4.874817,4.904717,4.844918,31.882914,0.99923,2274.802497,612.185944,2275.302497,1390.314056,12.72989,11.452588,243165.9745,389.223318,13.23,0.001736,624.746678,29671.93359,1579.635381,311.985673,2.927382,4.301058,4.289721,4.312395,278.802487,0.999969
sdssi,aligned_supersecret_ip_2459698d5484760921_2022d04d29T01d00d08d886_1a1388984_200d276_kb95_sophiarisin1.fit,46,0,59698.54293,2459698.543,NaN,NaN,2459698.547,1.138898,NaN,NaN,200.276,NaN,NaN,5.146523,7,13,20,0.207114,1.415213,0.706607,0.000437,0.002291,0.001144,473.421603,617.721168,617.721168,891835.1453,707.90815,1499.379999,968.696409,1499.879999,1033.803591,12.726206,11.576767,184711.1156,153.93804,361.565669,14.191929,0.002291,510.864641,13370.09766,1199.905595,391.557145,725.707903,3.551018,4.837327,4.634648,5.040007,63.163387,0.98006,1191.148433,451.42599,1191.648433,1551.07401,12.731797,11.624895,522577.8334,535.906819,13.24,0.001113,975.128166,36546.30469,3394.728381,341.783686,3.729099,4.871872,4.768854,4.97489,54.538962,0.983274,2281.523914,620.62748,2282.023914,1381.87252,12.729894,11.45267,369257.3119,462.53414,13.23,0.001359,798.335258,27163.01367,2398.739855,338.986755,3.739235,4.848685,4.75234,4.94503,57.409249,0.991043
sdssi,aligned_supersecret_ip_2459698d5509681138_2022d04d29T01d03d43d320_1a1463826_200d267_kb95_sophiarisin1.fit,47,0,59698.54541,2459698.545,NaN,NaN,2459698.55,1.146383,NaN,NaN,200.267,NaN,NaN,4.950788,7,13,20,0.207462,1.387611,0.720663,0.00043,0.002203,0.001144,482.625567,629.854265,629.854265,919527.9642,717.494029,1499.113148,968.825208,1499.613148,1033.674792,12.726206,11.576776,190767.178,153.93804,366.170507,14.190104,0.002247,520.979091,15019.42481,1239.246504,396.816156,725.707903,3.279528,4.656631,4.4354,4.877863,83.634935,0.990554,1190.890368,451.551908,1191.390368,1550.948092,12.731797,11.6249,534403.2713,541.481273,13.24,0.0011,986.928446,42023.04297,3471.547846,346.000769,3.250078,4.674702,4.548478,4.800926,80.507932,0.996743,2281.29727,620.739816,2281.79727,1381.760184,12.729894,11.452673,385124.6929,470.739538,13.23,0.001326,818.12693,30938.18359,2501.816269,340.134688,3.176236,4.673425,4.572671,4.774178,284.722622,0.997551
sdssi,aligned_supersecret_ip_2459698d5534603279_2022d04d29T01d07d19d465_1a1542875_200d275_kb95_sophiarisin1.fit,48,0,59698.54791,2459698.548,NaN,NaN,2459698.552,1.154288,NaN,NaN,200.275,NaN,NaN,5.189714,7,13,20,0.20833,1.403866,0.712319,0.000422,0.002192,0.001112,493.333066,640.469315,640.469315,949438.9086,727.666627,1499.378573,969.45364,1499.878573,1033.04636,12.726204,11.576783,197797.0522,153.93804,371.176443,14.185568,0.002199,532.892257,17017.22852,1284.913412,400.682558,725.707903,3.554748,4.622346,4.48603,4.758663,76.607451,0.995642,1191.154619,452.180134,1191.654619,1550.319866,12.731796,11.624905,554475.5439,550.359446,13.24,0.001077,1007.478926,45776.89453,3601.93974,347.523685,3.4486,4.689605,4.626156,4.753055,63.355101,0.997952,2281.566465,621.364686,2282.066465,1381.135314,12.729893,11.452676,394963.3647,476.02857,13.23,0.001308,829.705169,34240.60938,2565.729463,343.76309,3.615007,4.696262,4.664086,4.728438,283.198478,0.999766
sdssi,aligned_supersecret_ip_2459698d5559406839_2022d04d29T01d10d53d776_1a1624845_200d272_kb95_sophiarisin1.fit,49,0,59698.55039,2459698.55,NaN,NaN,2459698.555,1.162484,NaN,NaN,200.272,NaN,NaN,5.307949,7,13,20,0.20782,1.402062,0.713235,0.000422,0.002188,0.001113,492.900175,640.940755,640.940755,950282.3535,727.866412,1499.367084,969.599438,1499.867084,1032.900562,12.726205,11.576772,197487.8674,153.93804,371.013839,14.188231,0.002201,532.292455,16022.50098,1282.90491,400.981387,725.707903,3.393714,4.665145,4.457753,4.872536,72.041647,0.987995,1191.124673,452.320405,1191.624673,1550.179595,12.731797,11.624898,554671.24,550.357976,13.24,0.001077,1007.837197,43179.94922,3603.211006,346.456717,3.517394,4.750859,4.617477,4.884242,65.586417,0.992737,2281.524518,621.477356,2282.024518,1381.022644,12.729894,11.452671,395611.1135,476.335609,13.23,0.001306,830.530211,31732.38867,2569.937317,343.582625,3.823025,4.750461,4.654066,4.846856,72.685529,0.997569
